,Jaccard-Sim-2,Feature-Based-Sim,Fluency,Flexibility,Originality
base,0.4390415645564146,0.73530143,48.49,58.5,0.5033613535615825
GEN0,0.45389653544144565,0.89213604,209.34343434343435,94.04040404040404,0.6774862218892759
GEN1,0.45524234513853196,0.90921193,213.7,94.8,0.6834456541724976
GEN2,0.4534918190392565,0.89038646,207.28,94.25,0.678459763155794
GEN3,0.45437091098088705,0.89920753,202.13,93.54,0.6712592628285351
GEN4,0.45402651648210457,0.8880568,212.32,94.45,0.6849167063503206
GEN5,0.4545795277271342,0.8934148,215.47,95.23,0.6881212854977531
