,Jaccard-Sim-2,Feature-Based-Sim,Fluency,Flexibility,Originality
base,0.41651885053499543,0.8138493,0.6533636363636365,0.6833636363636364,0.5714282439696916
GEN0,0.459777091624738,0.83805424,0.985,0.8011764705882354,0.5554244852937988
GEN1,0.44309616046750944,0.7835904,0.8288,0.7229000000000001,0.5586468123694658
GEN2,0.4318122733201615,0.6385725,0.6089,0.5514,0.6223418208092185
GEN3,0.43134497028047475,0.69982755,0.7898999999999999,0.6358,0.6025331725902402
GEN4,0.42543744098901365,0.76799214,0.915049504950495,0.6966336633663366,0.6043443164258834
GEN5,0.42526067584236693,0.7428568,0.9582178217821782,0.6991089108910892,0.5742604787407937
GEN6,0.42332638302071574,0.7829691,1.0317821782178218,0.7384158415841584,0.5531429935004526
GEN7,0.42190014931962533,0.7589235,1.0592079207920793,0.7462376237623762,0.5943235978389991
