,Distinct-2,Distinct-3,Self-BLEU,OV-TTR,MS-TTR,S-DIV-AV,S-DIV-C,SYN-DIV
RD,0.8578473321128292,0.9589452336720632,0.9526304588320497,0.5269745543293862,0.7746006605996695,0.8023297664527064,0.5276424123100746,0.7805889114799486
base,0.543964439835638,0.5995687572530777,0.5594587078148479,0.3893681159300395,0.6487932498635649,0.6259714122545255,0.3657710236220196,0.6164543395676733
GEN0,0.7492512304091503,0.8300579821630016,0.7875955102101724,0.48939819281618335,0.6997588133764987,0.7264587994119919,0.47110549617552416,0.700807273216585
GEN1,0.5995062012119875,0.6464783062170159,0.6831702795250021,0.4389988108637399,0.6355026382609826,0.6621950054258421,0.39620769879145834,0.5961729072494368
GEN2,0.4362507964706515,0.45940942805256335,0.6976028869243427,0.49479456363665286,0.6517391201711514,0.6101649844505282,0.2981462989884351,0.46114572624603745
