,Inf_RP 1.0,Inf_RP 1.1
Base,0.7375549,0.8138493
GEN-1,0.7061717,0.83805424
GEN0,0.6655212,0.7835904
GEN1,0.55482435,0.6385725
GEN2,0.60713387,0.69982755
GEN3,0.5966135,0.76799214
GEN4,0.61275834,0.7428568
