,Inf_RP 1.0,Inf_RP 1.1
Base,0.1785148514851485,0.6533636363636365
GEN0,0.2421,0.985
GEN1,0.0952475247524752,0.2123762376237623
GEN2,0.0881188118811881,0.1147
GEN3,0.065,0.0776
GEN4,0.0745544554455445,0.0723762376237623
GEN5,0.0835643564356435,0.094059405940594
GEN6,0.0985148514851485,0.1097029702970297
GEN7,0.1033663366336633,0.1074257425742574
