,Inf_RP 1.0,Inf_RP 1.1
RD,0.9589452336720632,0.9589452336720632
Base,0.2218479048781755,0.5995687572530777
GEN0,0.2497554347592811,0.8300579821630016
GEN1,0.0773145302529551,0.1557973759238252
GEN2,0.0919602668603107,0.0935911048913305
GEN3,0.0578166048823559,0.0794920415272551
GEN4,0.0587433764597808,0.0847743343423818
GEN5,0.1072992370923269,0.1074203918452737
GEN6,0.1405231288067382,0.097497793649486
GEN7,0.0813105161996834,0.0776369859786559
